Program Time [s],data 0,data 1
27.1309,2.2645e+06,2.55038e+06
27.1721,2.26452e+06,2.55042e+06
27.2118,2.26452e+06,2.55051e+06
27.2522,2.26454e+06,2.55056e+06
27.2918,2.26454e+06,2.55062e+06
27.3328,2.26456e+06,2.55068e+06
27.3727,2.26459e+06,2.55073e+06
27.4128,2.26466e+06,2.55074e+06
27.4528,2.26472e+06,2.55086e+06
27.4934,2.26476e+06,2.55098e+06
27.5338,2.26479e+06,2.55106e+06
27.5738,2.26479e+06,2.55109e+06
27.6138,2.2648e+06,2.55114e+06
27.6537,2.26479e+06,2.55116e+06
27.6948,2.26478e+06,2.55115e+06
27.7347,2.26475e+06,2.55111e+06
27.7758,2.26472e+06,2.55107e+06
27.8147,2.26469e+06,2.55108e+06
27.8549,2.26465e+06,2.55105e+06
27.8957,2.26463e+06,2.55103e+06
27.9358,2.26463e+06,2.55102e+06
27.9758,2.26461e+06,2.55095e+06
28.0158,2.26456e+06,2.55079e+06
28.0567,2.26452e+06,2.55068e+06
28.0968,2.2645e+06,2.55069e+06
28.1367,2.26452e+06,2.55078e+06
28.1768,2.26455e+06,2.55088e+06
28.218,2.26456e+06,2.55087e+06
28.2577,2.26452e+06,2.55081e+06
28.2977,2.26442e+06,2.55068e+06
28.3381,2.26435e+06,2.55063e+06
28.3777,2.26432e+06,2.55064e+06
28.4187,2.26434e+06,2.5507e+06
28.4587,2.26437e+06,2.55079e+06
28.4987,2.26443e+06,2.55089e+06
28.5387,2.26443e+06,2.55093e+06
28.5798,2.26442e+06,2.55093e+06
28.6197,2.26439e+06,2.55093e+06
28.6602,2.26438e+06,2.55092e+06
28.6997,2.26438e+06,2.55094e+06
28.7397,2.2644e+06,2.55096e+06
28.7808,2.26445e+06,2.55103e+06
28.8207,2.26444e+06,2.55103e+06
28.8607,2.26445e+06,2.55101e+06
28.9009,2.26439e+06,2.55084e+06
28.9417,2.26437e+06,2.55063e+06
28.9817,2.26436e+06,2.55056e+06
29.0217,2.26438e+06,2.5506e+06
29.0617,2.2644e+06,2.55065e+06
29.1027,2.26441e+06,2.5507e+06
29.1427,2.2644e+06,2.55074e+06
29.1827,2.26439e+06,2.55074e+06
29.2227,2.26438e+06,2.55072e+06
29.2632,2.26435e+06,2.55067e+06
29.3037,2.26431e+06,2.5507e+06
29.3436,2.26429e+06,2.5507e+06
29.3837,2.26429e+06,2.5507e+06
29.4237,2.26427e+06,2.5507e+06
29.4647,2.26428e+06,2.55071e+06
29.5047,2.26425e+06,2.55072e+06
29.545,2.26426e+06,2.55074e+06
29.5847,2.26427e+06,2.55075e+06
29.6248,2.26428e+06,2.55076e+06
29.6657,2.26424e+06,2.55076e+06
29.7057,2.26424e+06,2.55077e+06
29.7457,2.26421e+06,2.5507e+06
29.7857,2.26416e+06,2.55057e+06
29.8267,2.26415e+06,2.55046e+06
29.8667,2.26415e+06,2.55049e+06
29.9067,2.26415e+06,2.55054e+06
29.9467,2.26416e+06,2.55059e+06
29.9877,2.26416e+06,2.55061e+06
30.0279,2.26414e+06,2.55063e+06
30.0676,2.26415e+06,2.55062e+06
30.1081,2.26414e+06,2.55062e+06
30.1477,2.26412e+06,2.55063e+06
30.1886,2.26413e+06,2.55066e+06
30.2286,2.26412e+06,2.55067e+06
30.2686,2.26412e+06,2.5507e+06
30.3087,2.26412e+06,2.55072e+06
30.3498,2.26412e+06,2.55075e+06
30.3897,2.26412e+06,2.55076e+06
30.4301,2.26413e+06,2.55078e+06
30.4696,2.26412e+06,2.55079e+06
30.511,2.26412e+06,2.55079e+06
30.5507,2.26413e+06,2.55081e+06
30.5906,2.26413e+06,2.55083e+06
30.6306,2.26414e+06,2.55084e+06
30.6706,2.2641e+06,2.55072e+06
30.7123,2.26405e+06,2.55058e+06
30.7516,2.26404e+06,2.55048e+06
30.792,2.26406e+06,2.55051e+06
30.8316,2.26406e+06,2.55056e+06
30.8726,2.26409e+06,2.55061e+06
30.9126,2.26409e+06,2.55065e+06
30.9526,2.2641e+06,2.55066e+06
30.993,2.2641e+06,2.55066e+06
31.0338,2.2641e+06,2.55066e+06
31.0736,2.26413e+06,2.55069e+06
31.1136,2.26414e+06,2.55071e+06
31.1536,2.26412e+06,2.55074e+06
31.1943,2.26414e+06,2.55076e+06
31.2346,2.26416e+06,2.5508e+06
31.2746,2.26414e+06,2.5508e+06
31.3146,2.26416e+06,2.55083e+06
31.3546,2.26415e+06,2.55084e+06
31.3968,2.26415e+06,2.55085e+06
